task,feature,feature_group,stability_level,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note
Tg,EP_matrix_Tg,ep_baseline,High,EP matrix Tg,未改性EP的Tg基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
Tg,Cure_Temp_Max,curing_and_preparation,Medium,Maximum cure temperature,最高固化温度,curing_and_preparation,base_or_transform,none,cure_temperature,Base and mathematical transforms merged into one parent variable.
Tg,CuringAgent_Has_S,molecular_descriptor,Medium,CuringAgent_Has_S,CuringAgent_Has_S,molecular_descriptor,direct,none,other,Direct mapping; review manually if used in the manuscript.
Tg,EP_matrix_Tg_sq,ep_baseline,High,EP matrix Tg,未改性EP的Tg基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
Tg,curing_MolMR,molecular_descriptor,Medium,Curing agent MolMR,固化剂MolMR,molecular_descriptor,molecular_descriptor,none,descriptor_molmr,Molecular descriptor retained at scope-specific parent level.
Tg,main_BalabanJ,other,Medium,Main FR BalabanJ,主阻燃剂Balaban拓扑指数,molecular_descriptor,molecular_descriptor,none,descriptor_balabanj,Molecular descriptor retained at scope-specific parent level.
Tg,P_x_curing_LogP,molecular_descriptor,Medium,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
Tg,EP_matrix_Tg_sqrt,ep_baseline,High,EP matrix Tg,未改性EP的Tg基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
Tg,main_FractionCSP3,molecular_descriptor,Medium,Main FR FractionCSP3,主阻燃剂sp3碳比例,molecular_descriptor,molecular_descriptor,none,descriptor_fractioncsp3,Molecular descriptor retained at scope-specific parent level.
Tg,P_loading_x_Synergy,formulation_loading,Medium,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,interaction,none,p_loading_synergy,"Legacy-named interaction between total FR loading, formulation-level P content, and synergistic status."
Tg,P_S_loading_sum,formulation_loading,Medium,P–S loading–composition interaction,P–S添加量–组成交互,formulation_interaction,interaction_sum,none,p_s_loading,sum-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.
Tg,Synergy_x_EP_matrix_Tg,formulation_interaction,Medium,Synergy × EP matrix Tg,协同状态×未改性EP的Tg,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.
Tg,P_N_loading_ratio,formulation_loading,Medium,P–N loading–composition interaction,P–N添加量–组成交互,formulation_interaction,interaction_ratio,none,p_n_loading,ratio-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.
Tg,P_x_curing_FractionCSP3,molecular_descriptor,Medium,P content × curing-agent FractionCSP3,磷含量×固化剂sp3碳比例,molecular_interaction,interaction,none,p_curing_fractioncsp3,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
Tg,main_BertzCT,other,Medium,Main FR BertzCT,主阻燃剂BertzCT,molecular_descriptor,molecular_descriptor,none,descriptor_bertzct,Molecular descriptor retained at scope-specific parent level.
Tg,P_S_loading_ratio,formulation_loading,Medium,P–S loading–composition interaction,P–S添加量–组成交互,formulation_interaction,interaction_ratio,none,p_s_loading,ratio-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.
TS_MPa,EP_matrix_TS,ep_baseline,Medium,EP matrix TS,未改性EP的TS基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
TS_MPa,EP_matrix_TS_sq,ep_baseline,High,EP matrix TS,未改性EP的TS基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
