task,target_cn,parent_variable,parent_variable_cn,parent_feature_group,mechanism_key,parent_stability_level,child_feature_count,child_features,dominant_child_feature,parent_importance_sum,parent_importance_max_child,parent_importance_mean_child,selected_feature_frequency_weighted,top20_frequency_weighted,direction_consistency_weighted,positive_direction_fraction_weighted,folds_present_max,n_shap_folds_max,average_output_direction,average_output_direction_cn,performance_direction_cn,physical_meaning_cn,mechanism_interpretation_cn,writing_caution_cn,literature_support_needed_cn,aggregation_caution,parent_importance_share_of_stable_sum,parent_rank_conservative,parent_rank_sum
TS_MPa,拉伸强度（TS）,EP matrix TS,未改性EP的TS基线,ep_baseline,ep_baseline,High,3,EP_matrix_TS; EP_matrix_TS_sq; EP_matrix_TS_sqrt,EP_matrix_TS,8.080075960406461,3.748408643447901,2.6933586534688203,1.0,1.0,0.7072184800782656,0.29278151992173457,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.7910090995058374,1,1
TS_MPa,拉伸强度（TS）,Synergy × EP matrix TS,协同状态×未改性EP的TS,formulation_interaction,synergy_ep_baseline,High,1,Synergy_x_EP_matrix_TS,Synergy_x_EP_matrix_TS,0.6740061919483751,0.6740061919483751,0.6740061919483751,1.0,1.0,1.0,0.0,5,5,Predominantly negative,降低TS预测值,总体方向与目标优化方向相反,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.06598267560440403,2,2
TS_MPa,拉伸强度（TS）,Main FR RotBonds,主阻燃剂可旋转键数,molecular_descriptor,descriptor_rotbonds,Medium,1,main_RotBonds,main_RotBonds,0.384041374688283,0.384041374688283,0.384041374688283,0.8,0.6,0.75,0.75,4,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子柔性、构象自由度和脂肪化程度。,柔性影响分散、网络运动和裂纹耗能；过高柔性可能降低刚性、Tg或芳香成炭倾向。,其作用可能在阻燃性能与力学/热性能之间存在权衡。,补充刚柔协同、链段运动和芳香成炭相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.03759620868092449,3,3
TS_MPa,拉伸强度（TS）,Main FR HBD,主阻燃剂氢键供体数,molecular_descriptor,descriptor_hbd,Medium,1,main_HBD,main_HBD,0.3564632139035464,0.3564632139035464,0.3564632139035464,1.0,0.7999999999999999,0.6,0.6,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子极性、氢键作用和潜在反应/相互作用位点。,极性与氢键位点可影响环氧/固化剂相容性、固化反应和凝聚相网络结构。,描述符贡献不等于特定官能团已经发生反应，需结合结构和固化化学确认。,补充极性官能团、氢键及反应型DOPO固化行为文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.034896410283575714,4,4
TS_MPa,拉伸强度（TS）,Main FR MORGAN_R2 bit 27,主阻燃剂MORGAN_R2指纹位27,molecular_fingerprint,fingerprint,Medium,1,main_morgan_r2_27,main_morgan_r2_27,0.1870501879077444,0.1870501879077444,0.1870501879077444,1.0,0.6,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子中的局部原子环境或子结构片段。,稳定指纹位说明特定局部结构对模型预测有重复贡献，但只有映射回具体子结构后才能讨论DOPO核心、P–N/P–Si连接、芳香片段或反应性官能团。,未完成RDKit位映射前，不得把指纹编号直接写成化学机理。,先完成指纹位—子结构映射，再检索对应结构单元的阻燃或固化机理文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.018311511107608407,5,5
TS_MPa,拉伸强度（TS）,Curing agent MORGAN_R2 bit 22,固化剂MORGAN_R2指纹位22,molecular_fingerprint,fingerprint,Medium,1,curing_morgan_r2_22,curing_morgan_r2_22,0.1798376470242434,0.1798376470242434,0.1798376470242434,1.0,0.6,0.6,0.6,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子中的局部原子环境或子结构片段。,稳定指纹位说明特定局部结构对模型预测有重复贡献，但只有映射回具体子结构后才能讨论DOPO核心、P–N/P–Si连接、芳香片段或反应性官能团。,未完成RDKit位映射前，不得把指纹编号直接写成化学机理。,先完成指纹位—子结构映射，再检索对应结构单元的阻燃或固化机理文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.01760543043493115,6,6
TS_MPa,拉伸强度（TS）,P–N loading–composition interaction,P–N添加量–组成交互,formulation_interaction,p_n_loading,Medium,1,P_N_loading_ratio,P_N_loading_ratio,0.1767655983064554,0.1767655983064554,0.1767655983064554,0.8,0.6,1.0,0.0,4,5,Predominantly negative,降低TS预测值,总体方向与目标优化方向相反,表征磷与氮有效负载的组合关系。,该组合可反映P–N协同潜力，包括气相稀释/自由基抑制与凝聚相膨胀成炭的共同作用。,工程化和/比值特征只表示统计交互，不证明分子内P–N协同。,补充P–N协同阻燃及不同P/N比例的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.017304688399608338,7,7
TS_MPa,拉伸强度（TS）,P content × curing-agent FractionCSP3,磷含量×固化剂sp3碳比例,molecular_interaction,p_curing_fractioncsp3,Medium,1,P_x_curing_FractionCSP3,P_x_curing_FractionCSP3,0.176656172082311,0.176656172082311,0.176656172082311,1.0,0.6,0.6,0.6,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.017293975983110405,8,8
Tg,玻璃化转变温度（Tg）,EP matrix Tg,未改性EP的Tg基线,ep_baseline,ep_baseline,High,3,EP_matrix_Tg; EP_matrix_Tg_sq; EP_matrix_Tg_sqrt,EP_matrix_Tg,6.748860722513461,4.656069427890889,2.2496202408378205,1.0,0.9808670018968644,0.8000000000000002,0.20000000000000004,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.37366670120620693,1,1
Tg,玻璃化转变温度（Tg）,Maximum cure temperature,最高固化温度,curing_and_preparation,cure_temperature,Medium,1,Cure_Temp_Max,Cure_Temp_Max,2.3996202452770072,2.3996202452770072,2.3996202452770072,1.0,1.0,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征体系采用的最高固化温度。,固化温度影响反应完成度、交联密度、相分离和网络缺陷，从而间接改变热分解、燃烧和力学行为。,最高温度不能完整代表升温程序、保温时间和后固化过程。,补充固化制度对环氧交联网络、Tg和阻燃性能影响的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.1328606735369623,2,2
