source_file,task,task_type,split_strategy,screening_mode,row_policy,feature_scope,use_BDE,descriptor_mode,use_V7_formula_features,configured_current_view,configured_current_k,outer_splits_requested,outer_splits_completed,inner_splits,selection_scope,selection_rule,formal_row_policy,n_valid_formal_rows,n_neat_rows,n_modified_rows,neat_fr_feature_masking,matching_baseline_leakage_guard,outer_R2_mean,outer_R2_std,outer_RMSE_mean,outer_RMSE_std,outer_MAE_mean,outer_MAE_std,outer_modified_R2_mean,outer_modified_R2_std,outer_modified_RMSE_mean,outer_modified_RMSE_std,outer_modified_MAE_mean,outer_modified_MAE_std,outer_PICP_mean,outer_PICP_std,outer_MPIW_mean,outer_MPIW_std,outer_modified_PICP_mean,outer_modified_PICP_std,outer_modified_MPIW_mean,outer_modified_MPIW_std,selected_view_frequency,selected_model_frequency,selected_k_frequency,outer_Accuracy_mean,outer_Accuracy_std,outer_Balanced_Accuracy_mean,outer_Balanced_Accuracy_std,outer_Macro_F1_mean,outer_Macro_F1_std,outer_Weighted_F1_mean,outer_Weighted_F1_std,outer_Brier_mean,outer_Brier_std,outer_ECE_mean,outer_ECE_std,outer_TN_mean,outer_TN_std,outer_FP_mean,outer_FP_std,outer_FN_mean,outer_FN_std,outer_TP_mean,outer_TP_std,outer_ROC_AUC_mean,outer_ROC_AUC_std,outer_PR_AUC_mean,outer_PR_AUC_std,outer_modified_Accuracy_mean,outer_modified_Accuracy_std,outer_modified_Balanced_Accuracy_mean,outer_modified_Balanced_Accuracy_std,outer_modified_Macro_F1_mean,outer_modified_Macro_F1_std,outer_modified_Weighted_F1_mean,outer_modified_Weighted_F1_std,outer_modified_Brier_mean,outer_modified_Brier_std,outer_modified_ECE_mean,outer_modified_ECE_std,outer_modified_TN_mean,outer_modified_TN_std,outer_modified_FP_mean,outer_modified_FP_std,outer_modified_FN_mean,outer_modified_FN_std,outer_modified_TP_mean,outer_modified_TP_std,outer_modified_ROC_AUC_mean,outer_modified_ROC_AUC_std,outer_modified_PR_AUC_mean,outer_modified_PR_AUC_std
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\Char_yield\molecule\formulation\without_BDE\Char_yield_nested_summary.csv,Char_yield,regression,molecule,formulation,baseline_inclusive,all,0,advanced,1,full_interaction,100.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,196,48,148,True,True,0.2577652886663714,0.3735564585441066,4.276538371492891,1.693393936192104,3.0198303190707927,0.7351428228688678,0.0302577277289376,0.4993390926206559,4.563204617705091,1.782139384682796,3.306183261687367,0.7801265474514798,0.9698717948717948,0.0541846806641132,23.95558756319472,7.434620451525277,0.9666666666666668,0.0577350269189625,23.95558756319473,7.43462045152528,"[[""full_interaction"", 5]]","[[""SVR"", 3], [""LGBM"", 1], [""RF"", 1]]","[[""100"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_CY\molecule\formulation\without_BDE\Delta_CY_nested_summary.csv,Delta_CY,regression,molecule,formulation,baseline_inclusive,all,0,advanced,0,descriptors,180.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,task-specific valid target mask,148,0,148,False,False,-0.0376429475544024,0.558951307618227,3.549963663849665,1.0425325246793005,2.6729969194145933,0.5183818453813429,-0.0376429475544024,0.558951307618227,3.549963663849665,1.0425325246793005,2.6729969194145933,0.5183818453813429,0.959310344827586,0.0557299416574811,19.681918975871497,5.499391412633607,0.959310344827586,0.0557299416574811,19.681918975871497,5.499391412633607,"[[""descriptors"", 5]]","[[""ExtraTrees"", 2], [""SVR"", 1], [""RF"", 1], [""SoftVote"", 1]]","[[""180"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_LOI\molecule\formulation\without_BDE\Delta_LOI_nested_summary.csv,Delta_LOI,regression,molecule,formulation,baseline_inclusive,all,0,advanced,0,descriptors,30.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,task-specific valid target mask,468,0,468,False,False,0.4678268221516939,0.1413444445300914,2.709606551169346,0.5162851886097539,2.1558474765715614,0.3557019812645822,0.4678268221516939,0.1413444445300914,2.709606551169346,0.5162851886097539,2.1558474765715614,0.3557019812645822,0.948592999313658,0.063158447019189,13.071076994261762,2.723140279113149,0.948592999313658,0.063158447019189,13.071076994261762,2.723140279113149,"[[""descriptors"", 5]]","[[""RF"", 2], [""GBDT"", 2], [""SVR"", 1]]","[[""30"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_PHRR\molecule\formulation\without_BDE\Delta_PHRR_nested_summary.csv,Delta_PHRR,regression,molecule,formulation,baseline_inclusive,all,0,advanced,0,maccs,240.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,task-specific valid target mask,289,0,289,False,False,0.2152888512009633,0.226039075779155,172.87876248664492,40.596783408420094,136.6481116510241,33.42988051216237,0.2152888512009633,0.226039075779155,172.87876248664492,40.596783408420094,136.6481116510241,33.42988051216237,0.9655172413793104,0.0531415000255946,1058.84735235588,278.911019649344,0.9655172413793104,0.0531415000255946,1058.84735235588,278.911019649344,"[[""maccs"", 5]]","[[""RF"", 3], [""GBDT"", 1], [""ExtraTrees"", 1]]","[[""240"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_Delta_fixed_5x5\Delta_THR\molecule\formulation\without_BDE\Delta_THR_nested_summary.csv,Delta_THR,regression,molecule,formulation,baseline_inclusive,all,0,advanced,0,descriptors,120.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,task-specific valid target mask,283,0,283,False,False,0.1146702899120778,0.3809850380042411,14.534962115454007,2.633999179692827,9.50295432127444,1.5766714367014514,0.1146702899120778,0.3809850380042411,14.534962115454007,2.633999179692827,9.50295432127444,1.5766714367014514,0.9575814536340852,0.0320894385782285,83.3052498326787,37.463032036533306,0.9575814536340852,0.0320894385782285,83.3052498326787,37.463032036533306,"[[""descriptors"", 5]]","[[""GBDT"", 2], [""LGBM"", 2], [""ExtraTrees"", 1]]","[[""120"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_exploratory_fixed_baseline_inclusive_5x5\FS_MPa\molecule\formulation\without_BDE\FS_MPa_nested_summary.csv,FS_MPa,regression,molecule,formulation,baseline_inclusive,all,0,advanced,1,morgan_r3,240.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,228,56,172,True,True,0.3443357484035981,0.2205768991598783,25.369525162759096,9.630087838980826,17.066821910224466,4.4080947213375214,0.3692800755790754,0.2603998298243976,26.556099376560688,11.500222117727876,17.60725807771155,5.228247269688397,0.94743961352657,0.0503892755623068,197.12072287496844,117.5437406927877,0.9357575757575758,0.0665777784883571,197.1207228749684,117.54374069278768,"[[""morgan_r3"", 5]]","[[""RF"", 3], [""SoftVote"", 2]]","[[""240"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_nested_summary.csv,LOI,regression,molecule,formulation,baseline_inclusive,all,0,basic,1,compact,260.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.7164949069317215,0.0358125838188013,2.5954506613795365,0.4646136617911402,1.991880198572196,0.4068147603830761,0.4458479636836226,0.0655395723713557,2.739017571023658,0.5518541899736377,2.114407532312061,0.5019712818832952,0.9682773109243696,0.0123704040772047,12.968226939334937,2.484620639221263,0.961539541611631,0.0163206223653063,12.968226939334937,2.484620639221263,"[[""compact"", 5]]","[[""GBDT"", 3], [""ExtraTrees"", 1], [""SoftVote"", 1]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\conditions_only\LOI\molecule\formulation\conditions_only\without_BDE\LOI_nested_summary.csv,LOI,regression,molecule,formulation,baseline_inclusive,conditions_only,0,basic,1,compact,260.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.6956814406308798,0.0520100325480201,2.68089820149169,0.4925310715682542,2.074624770735096,0.4167557585073809,0.4045170058591343,0.1507036274523266,2.809737965071437,0.5833781388492005,2.1788158301822222,0.5408545299626382,0.9582633053221288,0.025685535654021,13.078580572010784,2.3529117085072104,0.9508554876194096,0.0247602135066144,13.078580572010784,2.352911708507212,"[[""compact"", 5]]","[[""RF"", 2], [""XGB"", 1], [""ExtraTrees"", 1], [""GBDT"", 1]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\molecular_only\without_BDE\LOI_nested_summary.csv,LOI,regression,molecule,formulation,baseline_inclusive,molecular_only,0,basic,1,compact,260.0,5,5,5,fixed,"feature view, K and model selected using grouped inner CV within each outer-training set; UL94 threshold also selected using outer-training data only; outer fold used once for evaluation",Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.4664359118675794,0.089398162613,3.529368886101394,0.411204915350511,2.634942515573859,0.2651315177420024,-0.1283084756457721,0.2434060417099247,3.843264550340985,0.445905072678747,2.9796893858184736,0.2859343260352442,0.9449159663865548,0.0491492782728245,16.486072284908808,2.877095956389104,0.933398486069251,0.0551294201878941,16.486072284908808,2.8770959563891023,"[[""compact"", 5]]","[[""SVR"", 4], [""LGBM"", 1]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\reference\formulation\without_BDE\LOI_nested_summary.csv,LOI,regression,reference,formulation,baseline_inclusive,all,0,basic,1,compact,260.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.7092967827576643,0.0842366460060842,2.629417937445406,0.4963112031827383,2.0521928271278456,0.3834835886858126,0.4194632969796146,0.2098506553365908,2.7959656279540237,0.554023825955254,2.1915123028662804,0.4400744419828602,0.9145798319327731,0.0988505146975821,11.328104944616095,1.895259235329128,0.8969800960878518,0.1185442742010398,11.328104944616095,1.8952592353291284,"[[""compact"", 5]]","[[""XGB"", 3], [""GBDT"", 2]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
