task,parent_rank_conservative,parent_variable,parent_variable_cn,parent_feature_group,parent_stability_level,average_output_direction_cn,performance_direction_cn,physical_meaning_cn,mechanism_interpretation_cn,writing_caution_cn,literature_support_needed_cn,child_features
LOI,1,P content × curing-agent RotBonds,磷含量×固化剂可旋转键数,molecular_interaction,High,降低LOI预测值,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_RotBonds
LOI,2,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,High,降低LOI预测值,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_LogP
LOI,3,P content × EP matrix LOI,磷含量×未改性EP的LOI,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃元素或添加量与未改性EP基线性能之间的统计交互。,相同阻燃剂剂量在不同基体与固化网络中可能产生不同增益，说明绝对性能取决于基体起点和改性响应的共同作用。,交互项不能直接说明具体化学反应，需结合基体类别和Delta任务验证。,补充基体依赖性、固化网络差异和阻燃增量分析相关文献。,P_content_x_EP_matrix_LOI
LOI,4,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,High,降低LOI预测值,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_HBD
LOI,5,Synergy × EP matrix LOI,协同状态×未改性EP的LOI,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Synergy_x_EP_matrix_LOI
LOI,6,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,High,降低LOI预测值,总体方向与目标优化方向相反,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,P_loading_x_Synergy
LOI,7,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,High,提高LOI预测值,总体方向与目标优化方向一致,表征分子极性、氢键作用和潜在反应/相互作用位点。,极性与氢键位点可影响环氧/固化剂相容性、固化反应和凝聚相网络结构。,描述符贡献不等于特定官能团已经发生反应，需结合结构和固化化学确认。,补充极性官能团、氢键及反应型DOPO固化行为文献。,main_TPSA
LOI,8,P–Si loading–composition interaction,P–Si添加量–组成交互,formulation_interaction,High,降低LOI预测值,总体方向与目标优化方向相反,表征磷与硅有效负载的组合关系。,磷促进早期成炭，硅有助于形成无机/陶瓷化保护层，两者可能共同提高炭层完整性。,比值或乘积是工程化统计特征，需结合实际P–Si连接方式和残炭表征验证。,补充P–Si协同、Si–O–Si/SiO2保护层及残炭分析文献。,P_Si_loading_ratio
LOI,9,EP matrix LOI,未改性EP的LOI基线,ep_baseline,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,EP_matrix_LOI; EP_matrix_LOI_sq; EP_matrix_LOI_sqrt
LOI,10,Maximum cure temperature,最高固化温度,curing_and_preparation,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征体系采用的最高固化温度。,固化温度影响反应完成度、交联密度、相分离和网络缺陷，从而间接改变热分解、燃烧和力学行为。,最高温度不能完整代表升温程序、保温时间和后固化过程。,补充固化制度对环氧交联网络、Tg和阻燃性能影响的文献。,Cure_Temp_Max
LOI,11,Total FR loading × synergy,总阻燃剂添加量×协同状态,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Loading_x_Synergy
LOI,12,P–N loading–composition interaction,P–N添加量–组成交互,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷与氮有效负载的组合关系。,该组合可反映P–N协同潜力，包括气相稀释/自由基抑制与凝聚相膨胀成炭的共同作用。,工程化和/比值特征只表示统计交互，不证明分子内P–N协同。,补充P–N协同阻燃及不同P/N比例的文献。,P_N_loading_product
LOI,13,Main FR MORGAN_R2 bit 75,主阻燃剂MORGAN_R2指纹位75,molecular_fingerprint,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子中的局部原子环境或子结构片段。,稳定指纹位说明特定局部结构对模型预测有重复贡献，但只有映射回具体子结构后才能讨论DOPO核心、P–N/P–Si连接、芳香片段或反应性官能团。,未完成RDKit位映射前，不得把指纹编号直接写成化学机理。,先完成指纹位—子结构映射，再检索对应结构单元的阻燃或固化机理文献。,main_morgan_r2_75
LOI,14,N content,氮含量,elemental_composition,Medium,降低LOI预测值,总体方向与目标优化方向相反,表征体系中的氮元素组成或有效氮负载。,氮结构可能促进不可燃气体释放、膨胀成炭或与磷形成协同，但其效果受含氮基团、分解时序和炭层稳定性控制。,N含量增加并不等于稳定P–N协同，某些气体释放过程可能扰动炭层。,补充P–N协同、含氮固化剂及膨胀成炭机理文献。,N_content_wt%_sq
PHRR,1,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,EP_matrix_PHRR; EP_matrix_PHRR_sq; EP_matrix_PHRR_sqrt
PHRR,2,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_HBA
PHRR,3,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_TPSA
PHRR,4,Total FR loading,总阻燃剂添加量,formulation_loading,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃剂总剂量或主/协同组分在配方中的比例。,剂量影响有效阻燃元素浓度、气相抑制、凝聚相成炭及分散状态；过高添加量也可能引起团聚、交联密度下降或力学损失，因此通常具有非线性和最优区间。,平均SHAP方向不能证明单调剂量效应，需结合依赖图和相同体系内的配方梯度。,补充DOPO添加量、协同配比与LOI/PHRR/THR/UL-94变化的剂量效应文献。,Loading_total_FR wt%; Loading_total_FR_sqrt; Loading_total_FR_sq
PHRR,5,Curing agent MORGAN_R2 bit 22,固化剂MORGAN_R2指纹位22,molecular_fingerprint,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子中的局部原子环境或子结构片段。,稳定指纹位说明特定局部结构对模型预测有重复贡献，但只有映射回具体子结构后才能讨论DOPO核心、P–N/P–Si连接、芳香片段或反应性官能团。,未完成RDKit位映射前，不得把指纹编号直接写成化学机理。,先完成指纹位—子结构映射，再检索对应结构单元的阻燃或固化机理文献。,curing_morgan_r2_22
PHRR,6,Cone_flux_kW_m2,Cone_flux_kW_m2,test_condition,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征父变量“Cone_flux_kW_m2”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,Cone_flux_kW_m2
PHRR,7,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,High,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子极性、氢键作用和潜在反应/相互作用位点。,极性与氢键位点可影响环氧/固化剂相容性、固化反应和凝聚相网络结构。,描述符贡献不等于特定官能团已经发生反应，需结合结构和固化化学确认。,补充极性官能团、氢键及反应型DOPO固化行为文献。,main_TPSA
PHRR,8,Main FR FractionCSP3,主阻燃剂sp3碳比例,molecular_descriptor,High,降低PHRR预测值,总体方向与目标优化方向一致,表征分子柔性、构象自由度和脂肪化程度。,柔性影响分散、网络运动和裂纹耗能；过高柔性可能降低刚性、Tg或芳香成炭倾向。,其作用可能在阻燃性能与力学/热性能之间存在权衡。,补充刚柔协同、链段运动和芳香成炭相关文献。,main_FractionCSP3
PHRR,9,Maximum cure temperature,最高固化温度,curing_and_preparation,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征体系采用的最高固化温度。,固化温度影响反应完成度、交联密度、相分离和网络缺陷，从而间接改变热分解、燃烧和力学行为。,最高温度不能完整代表升温程序、保温时间和后固化过程。,补充固化制度对环氧交联网络、Tg和阻燃性能影响的文献。,Cure_Temp_Max
PHRR,10,Main FR MolWt,主阻燃剂分子量,molecular_descriptor,Medium,降低PHRR预测值,总体方向与目标优化方向一致,表征分子尺寸、原子规模及潜在迁移性。,分子尺寸会影响挥发、扩散、分散和网络嵌入；较大分子可能降低迁移，但也可能带来位阻和相容性问题。,分子量效应常与芳香性、官能度和柔性共线。,补充分子量/大分子阻燃剂迁移、分散和热稳定性文献。,main_MolWt
PHRR,11,Main FR RotBonds,主阻燃剂可旋转键数,molecular_descriptor,High,降低PHRR预测值,总体方向与目标优化方向一致,表征分子柔性、构象自由度和脂肪化程度。,柔性影响分散、网络运动和裂纹耗能；过高柔性可能降低刚性、Tg或芳香成炭倾向。,其作用可能在阻燃性能与力学/热性能之间存在权衡。,补充刚柔协同、链段运动和芳香成炭相关文献。,main_RotBonds
PHRR,12,Synergy × EP matrix PHRR,协同状态×未改性EP的PHRR,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Synergy_x_EP_matrix_PHRR
PHRR,13,Cone_flux,Cone_flux,test_condition,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征父变量“Cone_flux”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,Cone_flux_sq
PHRR,14,Main FR LogP,主阻燃剂脂水分配/疏水性,molecular_descriptor,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子疏水性、极性平衡及潜在相容性。,适当的极性匹配可能改善阻燃剂在环氧网络中的分散和界面结合，并影响挥发/迁移倾向。,LogP是整体描述符，不能单独确定相容性或反应性。,补充分子极性、相容性和迁移行为对阻燃性能影响的文献。,main_LogP
PHRR,15,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,Medium,降低PHRR预测值,总体方向与目标优化方向一致,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_LogP
PHRR,16,Main FR MORGAN_R2 bit 107,主阻燃剂MORGAN_R2指纹位107,molecular_fingerprint,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征分子中的局部原子环境或子结构片段。,稳定指纹位说明特定局部结构对模型预测有重复贡献，但只有映射回具体子结构后才能讨论DOPO核心、P–N/P–Si连接、芳香片段或反应性官能团。,未完成RDKit位映射前，不得把指纹编号直接写成化学机理。,先完成指纹位—子结构映射，再检索对应结构单元的阻燃或固化机理文献。,main_morgan_r2_107
