task,target_cn,parent_variable,parent_variable_cn,parent_feature_group,mechanism_key,parent_stability_level,child_feature_count,child_features,dominant_child_feature,parent_importance_sum,parent_importance_max_child,parent_importance_mean_child,selected_feature_frequency_weighted,top20_frequency_weighted,direction_consistency_weighted,positive_direction_fraction_weighted,folds_present_max,n_shap_folds_max,average_output_direction,average_output_direction_cn,performance_direction_cn,physical_meaning_cn,mechanism_interpretation_cn,writing_caution_cn,literature_support_needed_cn,aggregation_caution,parent_importance_share_of_stable_sum,parent_rank_conservative,parent_rank_sum
LOI,极限氧指数（LOI）,P content × curing-agent RotBonds,磷含量×固化剂可旋转键数,molecular_interaction,p_curing_rotbonds,High,1,P_x_curing_RotBonds,P_x_curing_RotBonds,0.86480993735327,0.86480993735327,0.86480993735327,1.0,0.8,0.8,0.2,5,5,Predominantly negative,降低LOI预测值,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.24062681592946658,1,1
LOI,极限氧指数（LOI）,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,p_curing_logp,High,1,P_x_curing_LogP,P_x_curing_LogP,0.3152346985217714,0.3152346985217714,0.3152346985217714,1.0,1.0,0.8,0.2,5,5,Predominantly negative,降低LOI预测值,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.08771166761557837,2,3
LOI,极限氧指数（LOI）,P content × EP matrix LOI,磷含量×未改性EP的LOI,formulation_interaction,p_ep_baseline,Medium,1,P_content_x_EP_matrix_LOI,P_content_x_EP_matrix_LOI,0.2861531584257665,0.2861531584257665,0.2861531584257665,1.0,1.0,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃元素或添加量与未改性EP基线性能之间的统计交互。,相同阻燃剂剂量在不同基体与固化网络中可能产生不同增益，说明绝对性能取决于基体起点和改性响应的共同作用。,交互项不能直接说明具体化学反应，需结合基体类别和Delta任务验证。,补充基体依赖性、固化网络差异和阻燃增量分析相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.07961994931612941,3,4
LOI,极限氧指数（LOI）,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,p_curing_hbd,High,1,P_x_curing_HBD,P_x_curing_HBD,0.2628805720287825,0.2628805720287825,0.2628805720287825,1.0,1.0,0.8,0.2,5,5,Predominantly negative,降低LOI预测值,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.07314452839267382,4,5
LOI,极限氧指数（LOI）,Synergy × EP matrix LOI,协同状态×未改性EP的LOI,formulation_interaction,synergy_ep_baseline,Medium,1,Synergy_x_EP_matrix_LOI,Synergy_x_EP_matrix_LOI,0.2474539658344018,0.2474539658344018,0.2474539658344018,0.8,0.8,0.75,0.75,4,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.06885219204358853,5,6
LOI,极限氧指数（LOI）,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,p_loading_synergy,High,1,P_loading_x_Synergy,P_loading_x_Synergy,0.2076032165677233,0.2076032165677233,0.2076032165677233,1.0,0.8,0.8,0.2,5,5,Predominantly negative,降低LOI预测值,总体方向与目标优化方向相反,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.05776402284679164,6,7
LOI,极限氧指数（LOI）,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,descriptor_tpsa,High,1,main_TPSA,main_TPSA,0.1993006852010656,0.1993006852010656,0.1993006852010656,1.0,0.8000000000000002,0.8000000000000002,0.8000000000000002,5,5,Predominantly positive,提高LOI预测值,总体方向与目标优化方向一致,表征分子极性、氢键作用和潜在反应/相互作用位点。,极性与氢键位点可影响环氧/固化剂相容性、固化反应和凝聚相网络结构。,描述符贡献不等于特定官能团已经发生反应，需结合结构和固化化学确认。,补充极性官能团、氢键及反应型DOPO固化行为文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.05545390636845004,7,8
LOI,极限氧指数（LOI）,P–Si loading–composition interaction,P–Si添加量–组成交互,formulation_interaction,p_si_loading,High,1,P_Si_loading_ratio,P_Si_loading_ratio,0.1954506949435529,0.1954506949435529,0.1954506949435529,1.0,0.8,0.8,0.2,5,5,Predominantly negative,降低LOI预测值,总体方向与目标优化方向相反,表征磷与硅有效负载的组合关系。,磷促进早期成炭，硅有助于形成无机/陶瓷化保护层，两者可能共同提高炭层完整性。,比值或乘积是工程化统计特征，需结合实际P–Si连接方式和残炭表征验证。,补充P–Si协同、Si–O–Si/SiO2保护层及残炭分析文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.05438267573497697,8,9
LOI,极限氧指数（LOI）,EP matrix LOI,未改性EP的LOI基线,ep_baseline,ep_baseline,Medium,3,EP_matrix_LOI; EP_matrix_LOI_sq; EP_matrix_LOI_sqrt,EP_matrix_LOI,0.4855713554086741,0.193961720486077,0.16185711846955803,1.0,0.8798900999103755,0.6,0.6,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.1351065524479693,9,2
LOI,极限氧指数（LOI）,Maximum cure temperature,最高固化温度,curing_and_preparation,cure_temperature,Medium,1,Cure_Temp_Max,Cure_Temp_Max,0.1716415933236848,0.1716415933236848,0.1716415933236848,1.0,1.0,0.6,0.4,5,5,Mixed/unstable,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征体系采用的最高固化温度。,固化温度影响反应完成度、交联密度、相分离和网络缺陷，从而间接改变热分解、燃烧和力学行为。,最高温度不能完整代表升温程序、保温时间和后固化过程。,补充固化制度对环氧交联网络、Tg和阻燃性能影响的文献。,Correlated transforms can split SHAP attribution. Use max-child importance for conservative ranking; sum is bookkeeping only.,0.04775797351374236,10,10
