task,feature,feature_group,stability_level,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note
LOI,P_x_curing_RotBonds,molecular_descriptor,High,P content × curing-agent RotBonds,磷含量×固化剂可旋转键数,molecular_interaction,interaction,none,p_curing_rotbonds,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
LOI,P_x_curing_LogP,molecular_descriptor,High,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
LOI,P_content_x_EP_matrix_LOI,formulation_interaction,Medium,P content × EP matrix LOI,磷含量×未改性EP的LOI,formulation_interaction,interaction,none,p_ep_baseline,Interaction feature; represents matrix-dependent phosphorus contribution.
LOI,P_x_curing_HBD,molecular_descriptor,High,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,interaction,none,p_curing_hbd,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
LOI,Synergy_x_EP_matrix_LOI,formulation_interaction,Medium,Synergy × EP matrix LOI,协同状态×未改性EP的LOI,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.
LOI,P_loading_x_Synergy,formulation_loading,High,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,interaction,none,p_loading_synergy,"Legacy-named interaction between total FR loading, formulation-level P content, and synergistic status."
LOI,main_TPSA,molecular_descriptor,High,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,molecular_descriptor,none,descriptor_tpsa,Molecular descriptor retained at scope-specific parent level.
LOI,P_Si_loading_ratio,formulation_loading,High,P–Si loading–composition interaction,P–Si添加量–组成交互,formulation_interaction,interaction_ratio,none,p_si_loading,ratio-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.
LOI,EP_matrix_LOI,ep_baseline,Medium,EP matrix LOI,未改性EP的LOI基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
LOI,Cure_Temp_Max,curing_and_preparation,Medium,Maximum cure temperature,最高固化温度,curing_and_preparation,base_or_transform,none,cure_temperature,Base and mathematical transforms merged into one parent variable.
LOI,EP_matrix_LOI_sq,ep_baseline,Medium,EP matrix LOI,未改性EP的LOI基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
LOI,EP_matrix_LOI_sqrt,ep_baseline,Medium,EP matrix LOI,未改性EP的LOI基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
LOI,Loading_x_Synergy,formulation_loading,Medium,Total FR loading × synergy,总阻燃剂添加量×协同状态,formulation_interaction,interaction,none,loading_synergy,Interaction between total loading and synergistic formulation status.
LOI,P_N_loading_product,formulation_loading,Medium,P–N loading–composition interaction,P–N添加量–组成交互,formulation_interaction,interaction_product,none,p_n_loading,product-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.
LOI,main_morgan_r2_75,molecular_fingerprint,Medium,Main FR MORGAN_R2 bit 75,主阻燃剂MORGAN_R2指纹位75,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.
LOI,N_content_wt%_sq,elemental_composition,Medium,N content,氮含量,elemental_composition,base_or_transform,square,n_content,Base and mathematical transforms merged into one parent variable.
PHRR,EP_matrix_PHRR,ep_baseline,Medium,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
PHRR,P_x_curing_HBA,molecular_descriptor,Medium,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,interaction,none,p_curing_hba,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
PHRR,P_x_curing_TPSA,molecular_descriptor,Medium,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,interaction,none,p_curing_tpsa,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
PHRR,EP_matrix_PHRR_sq,ep_baseline,Medium,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
PHRR,EP_matrix_PHRR_sqrt,ep_baseline,Medium,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
PHRR,Loading_total_FR wt%,formulation_loading,Medium,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,none,fr_loading,Base and mathematical transforms merged into one parent variable.
PHRR,curing_morgan_r2_22,molecular_fingerprint,Medium,Curing agent MORGAN_R2 bit 22,固化剂MORGAN_R2指纹位22,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.
PHRR,Loading_total_FR_sqrt,formulation_loading,Medium,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,sqrt,fr_loading,Base and mathematical transforms merged into one parent variable.
PHRR,Cone_flux_kW_m2,test_condition,Medium,Cone_flux_kW_m2,Cone_flux_kW_m2,test_condition,direct,none,other,Direct mapping; review manually if used in the manuscript.
PHRR,main_TPSA,molecular_descriptor,High,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,molecular_descriptor,none,descriptor_tpsa,Molecular descriptor retained at scope-specific parent level.
PHRR,main_FractionCSP3,molecular_descriptor,High,Main FR FractionCSP3,主阻燃剂sp3碳比例,molecular_descriptor,molecular_descriptor,none,descriptor_fractioncsp3,Molecular descriptor retained at scope-specific parent level.
PHRR,Cure_Temp_Max,curing_and_preparation,Medium,Maximum cure temperature,最高固化温度,curing_and_preparation,base_or_transform,none,cure_temperature,Base and mathematical transforms merged into one parent variable.
PHRR,Loading_total_FR_sq,formulation_loading,Medium,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,square,fr_loading,Base and mathematical transforms merged into one parent variable.
PHRR,main_MolWt,molecular_descriptor,Medium,Main FR MolWt,主阻燃剂分子量,molecular_descriptor,molecular_descriptor,none,descriptor_molwt,Molecular descriptor retained at scope-specific parent level.
PHRR,main_RotBonds,other,High,Main FR RotBonds,主阻燃剂可旋转键数,molecular_descriptor,molecular_descriptor,none,descriptor_rotbonds,Molecular descriptor retained at scope-specific parent level.
PHRR,Synergy_x_EP_matrix_PHRR,formulation_interaction,Medium,Synergy × EP matrix PHRR,协同状态×未改性EP的PHRR,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.
PHRR,Cone_flux_sq,test_condition,Medium,Cone_flux,Cone_flux,test_condition,direct,square,other,Direct mapping; review manually if used in the manuscript.
PHRR,main_LogP,molecular_descriptor,Medium,Main FR LogP,主阻燃剂脂水分配/疏水性,molecular_descriptor,molecular_descriptor,none,descriptor_logp,Molecular descriptor retained at scope-specific parent level.
PHRR,P_x_curing_LogP,molecular_descriptor,Medium,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
PHRR,main_morgan_r2_107,molecular_fingerprint,Medium,Main FR MORGAN_R2 bit 107,主阻燃剂MORGAN_R2指纹位107,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.
PHRR,P_x_curing_MolWt,molecular_descriptor,Medium,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,interaction,none,p_curing_molwt,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
THR,EP_matrix_THR,ep_baseline,Medium,EP matrix THR,未改性EP的THR基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
THR,Synergy_x_EP_matrix_THR,formulation_interaction,Medium,Synergy × EP matrix THR,协同状态×未改性EP的THR,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.
